Date,Raw Meterials,Status, Quantity , UOM ,Bought From,Bill Number, Buying Price , Cost 
08/05/2018,Kekiri,Bought, 810.00 , Kg ,Mudalali,6264, 20.00 ," 16,200.00 "
14/05/2018,Kekiri,Bought," 1,275.00 ", Kg ,Mudalali,6502, 20.00 ," 25,500.00 "
22/05/2018,Kekiri,Bought, 499.00 , Kg ,Mudalali,6122, 20.00 ," 9,980.00 "
28/05/2018,Kekiri,Bought," 1,240.00 ", Kg ,Mudalali,3439, 20.00 ," 24,800.00 "
06/06/2018,kekiri,Bought, 450.00 , kg ,Mudalali,3317, 30.00 ," 13,500.00 "
11/06/2018,Kekiri,Bought, 590.00 , Kg ,Mudalali,3520, 35.00 ," 20,650.00 "
25/07/2018,Kakiri ,Bought, 314.00 ,,,, 76.08 ," 23,888.00 "
31/07/2018,Kekiri,Bought, 188.00 , Kg ,Mudalaliu,3898, 65.00 ," 12,220.00 "
09/08/2018,Kekiri,Bought, 354.00 , Kg ,Mudalali,3510, 50.00 ," 17,700.00 "
13/08/2018,Kekiri,Bought, 331.00 , Kg ,Mudalali,3341, 50.00 ," 16,550.00 "
16/08/2018,Kekiri,Bought, 344.00 , Kg ,Mudalali,3680, 40.00 ," 13,760.00 "
21/08/2018,Kekiri,Bought, 253.00 , Kg ,Mudalali,1391, 40.00 ," 10,120.00 "
29/08/2018,Kakiri,Bought, 367.00 , Kg ,Mudalali,3851, 26.51 ," 9,730.00 "
